make;model;body;transmission;color;condition;odometer;price
1;1;1;1;1;5;16639;21500
1;1;1;1;1;5;9393;21500
2;2;2;1;2;4.5;1331;30000
3;3;2;1;1;4.1;14282;27750
2;4;2;1;2;4.3;2641;67000
4;5;2;1;2;1;5554;10900
2;6;2;1;3;3.4;14943;65000
5;7;2;1;3;2;28617;9800
6;8;2;1;1;4.2;9557;32250
5;9;3;1;4;3;4809;17500
6;10;2;1;3;4.8;14414;49750
1;11;2;1;4;4.8;2034;17700
7;12;2;1;1;2;5559;12000
1;1;1;1;2;5;14634;21500
4;5;2;1;3;2;11398;14100
6;13;1;1;1;4.9;7983;40000
5;9;4;1;3;1.7;13441;17000
2;14;3;1;3;3.4;8819;67200
5;15;2;1;2;1.9;14538;7200
2;16;2;1;3;2.9;25969;30000
6;17;2;1;2;4.9;5826;23750
2;14;3;1;3;3.8;10736;65000
3;18;5;1;6;4.2;16506;32500
3;18;5;1;7;4.8;12725;32500
5;9;4;1;2;4.2;11874;19500
5;7;2;1;2;4.2;37888;11500
6;19;1;1;1;4.2;9606;47500
1;1;1;1;4;5;13757;20750
6;20;4;1;3;3.8;5875;44500
1;1;1;1;2;4.4;12862;21000
5;21;1;1;3;4.5;11426;59900
2;2;2;1;3;5;111;30500
2;6;2;1;3;3.8;16360;64250
2;2;2;1;1;4.5;9027;27500
8;22;4;1;2;4.7;4436;44000
2;14;3;1;1;3.2;13205;65000
3;23;5;1;1;4.1;11846;30000
2;24;1;1;1;4;379;51700
3;23;5;1;3;4.2;12242;30000
5;7;2;1;5;3.4;40661;13000
9;25;2;1;2;2.5;9051;21250
1;1;1;1;5;5;13878;20750
3;23;5;1;5;3.7;10906;30000
2;4;2;1;1;4.2;7305;66100
4;5;2;1;3;1;4314;11500
1;26;2;1;8;4.2;5304;40000
1;1;1;1;5;4.8;10357;20500
5;27;2;1;5;1;6105;9800
10;28;1;1;1;4.3;7770;38400
1;1;1;1;1;5;5214;19300
2;6;2;1;2;4.7;7766;77250
1;26;2;1;1;4.4;9684;41000
6;17;2;1;1;2;31;17300
4;29;2;2;12;3.9;1608;11000
5;9;4;1;3;3.1;9914;20600
11;30;2;1;5;1;7879;10500
1;1;1;1;1;5;14176;21250
5;9;4;1;2;4.1;17594;19600
6;17;2;1;2;5;1906;25750
2;14;3;1;3;4;8037;65000
4;31;6;1;4;2;5773;9000
6;32;2;1;3;4.3;32918;50000
2;33;1;1;1;4.8;19689;26500
5;9;4;1;4;1;20595;13600
3;23;5;1;5;4;13623;28000
2;14;4;1;3;4;9837;61500
